age,income,spending_score
19,25.4,72.1
21,32.8,81.5
23,28.6,76.4
25,45.2,65.7
27,52.1,58.3
29,61.5,72.8
31,68.4,45.2
33,74.6,51.7
35,82.3,38.5
37,91.7,42.1
39,105.4,35.6
41,112.8,29.4
43,118.5,31.8
45,125.7,24.6
47,98.3,47.9
49,87.5,55.3
51,76.8,63.7
53,69.4,71.2
55,58.7,78.4
57,48.5,84.6
22,35.7,88.1
24,41.3,79.6
26,47.8,74.2
28,55.6,68.9
30,63.2,61.5
32,71.8,57.4
34,79.5,49.8
36,86.1,44.7
38,93.6,39.2
40,101.5,34.8
42,109.7,28.5
44,116.2,25.7
46,122.5,21.9
48,95.4,52.6
50,84.7,61.8
52,73.5,69.4
54,64.8,75.9
56,53.9,82.7
58,45.6,87.3
60,38.2,91.5
20,29.5,85.4
23,36.8,80.2
26,44.1,73.6
29,51.7,67.5
32,59.4,60.8
35,67.2,54.9
38,75.8,48.1
41,83.6,41.7
44,92.4,35.3
47,101.2,30.6
50,110.5,26.8
53,119.3,23.4
56,127.8,19.7
59,89.6,48.5
62,78.2,58.9
25,31.4,89.2
28,39.7,82.6
31,46.5,76.8
34,54.3,70.5
37,62.9,64.2
40,70.6,57.3
43,79.1,50.4
46,88.5,43.8
49,97.3,37.6
52,106.8,32.1
55,115.4,27.5
58,124.1,22.8
61,68.7,65.9
64,57.3,73.4
21,27.8,92.1
24,34.6,86.7
27,42.5,80.3
30,49.8,74.6
33,57.1,68.2
36,65.9,61.7
39,73.4,55.8
42,81.6,48.9
45,90.7,42.5
48,99.5,36.4
51,108.2,31.7
54,117.6,26.3
57,126.4,21.5
60,72.5,62.8
63,61.8,70.6
22,30.7,87.9
26,38.9,81.4
30,47.2,75.1
34,55.8,68.7
38,64.3,62.5
42,72.9,55.2
46,81.7,48.3
50,90.6,41.4
54,100.3,35.8
58,109.1,29.6
62,118.7,24.1
64,127.2,20.3
20,26.9,94.2
25,43.5,77.8
30,60.2,66.1
35,76.4,52.9
40,92.7,40.6
45,108.9,31.5
50,124.6,23.7
55,83.1,58.6
60,67.4,72.3
65,51.8,85.7
