hours,attendance,assignments,score
8.2,91.5,9,83.4
5.4,78.2,7,65.8
2.1,62.5,4,43.7
9.1,95.3,10,91.6
6.7,84.1,8,74.2
3.5,71.8,5,53.1
7.8,88.6,9,80.5
1.8,55.4,3,36.8
4.6,76.3,6,60.2
8.7,93.2,10,88.9
5.9,81.7,7,69.4
2.7,68.9,4,47.5
7.1,86.4,8,76.8
9.5,97.1,10,94.2
3.9,73.5,5,55.7
6.2,82.8,7,71.3
4.1,69.7,6,57.9
8.4,90.2,9,85.1
1.5,58.6,2,32.9
5.1,79.4,7,66.7
7.5,87.3,8,78.9
3.2,65.1,4,45.6
6.9,85.7,9,77.6
9.0,94.5,10,90.7
2.4,61.8,3,41.5
4.8,75.9,6,61.8
7.9,89.7,9,82.1
5.6,80.5,7,68.3
3.7,70.2,5,52.4
8.9,92.8,10,89.8
